ratio,success_rate
0.01,0.049
0.02,0.0755
0.03,0.1035
0.04,0.146
0.05,0.1625
0.06,0.167
0.07,0.17
0.08,0.2155
0.09,0.216
0.1,0.233
0.11,0.2405
0.12,0.261
0.13,0.279
0.14,0.2695
0.15,0.2815
0.16,0.28
0.17,0.2995
0.18,0.3
0.19,0.324
0.2,0.331
0.21,0.3385
0.22,0.3495
0.23,0.3435
0.24,0.355
0.25,0.3545
0.26,0.368
0.27,0.3625
0.28,0.3525
0.29,0.357
0.3,0.357
0.31,0.3605
0.32,0.3695
0.33,0.3855
0.34,0.3785
0.35,0.3825
0.36,0.3815
0.37,0.387
0.38,0.384
0.39,0.357
0.4,0.381
0.41,0.3865
0.42,0.3635
0.43,0.3565
0.44,0.3545
0.45,0.3605
0.46,0.36
0.47,0.359
0.48,0.358
0.49,0.3515
0.5,0.362
0.51,0.3405
0.52,0.3515
0.53,0.329
0.54,0.328
0.55,0.316
0.56,0.3385
0.57,0.332
0.58,0.325
0.59,0.317
0.6,0.318
0.61,0.306
0.62,0.3035
0.63,0.2975
0.64,0.2775
0.65,0.2955
0.66,0.2745
0.67,0.269
0.68,0.2625
0.69,0.2455
0.7,0.2425
0.71,0.23
0.72,0.2315
0.73,0.237
0.74,0.228
0.75,0.2115
0.76,0.205
0.77,0.1905
0.78,0.1825
0.79,0.19
0.8,0.185
0.81,0.17
0.82,0.1655
0.83,0.161
0.84,0.1365
0.85,0.14
0.86,0.128
0.87,0.126
0.88,0.1195
0.89,0.1115
0.9,0.092
0.91,0.0965
0.92,0.076
0.93,0.067
0.94,0.059
0.95,0.049
0.96,0.0365
0.97,0.032
0.98,0.015
0.99,0.0095
